Categoria,Nombre,Vendedor,Precio,URL
Electrodomésticos,"Licuadora Imusa Powermix Glass 1,25 L blanca con vaso de vidrio 110V - 120V",Por Imusa Home & Cook,209900,https://www.mercadolibre.com.co/licuadora-imusa-powermix-glass-125-l-blanca-con-vaso-de-vidrio-110v-120v/p/MCO22915294#polycard_client=search-nordic&searchVariation=MCO22915294&position=12&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1783629720&sid=search
Electrodomésticos,Licuadora Personal Hamilton Beach 51101bv Negra Color Negro 110V,Por Hamilton Beach,159900,https://www.mercadolibre.com.co/licuadora-personal-hamilton-beach-51101bv-negra-color-negro-110v/p/MCO18636093#polycard_client=search-nordic&searchVariation=MCO18636093&position=13&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO904719943&sid=search
Electrodomésticos,"Oster® Licuadora, con Vaso de Vidrio Refractario Boroclass® y 6 Velocidades más Pulso, Ideal para Recetas Frias y Calientes, Negro, BLSTPEGBPB",Por Oster,239900,https://www.mercadolibre.com.co/oster-licuadora-con-vaso-de-vidrio-refractario-boroclass-y-6-velocidades-mas-pulso-ideal-para-recetas-frias-y-calientes-negro-blstpegbpb/p/MCO23602825#polycard_client=search-nordic&searchVariation=MCO23602825&position=14&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1642133698&sid=search
Electrodomésticos,Licuadora Profesional Imusa Ultraforce 2x 1100w Acero +2 Acc Color Plateado 110v,Por Imusa Home & Cook,579900,https://www.mercadolibre.com.co/licuadora-profesional-imusa-ultraforce-2x-1100w-acero-2-acc-color-plateado-110v/p/MCO44438303#polycard_client=search-nordic&searchVariation=MCO44438303&position=15&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2762693440&sid=search
Electrodomésticos,Licuadora portátil Ninja Professional Plus Auto-iQ BN701 2.1 L gris y negra con vaso de tritan 110V,Por SHARK NINJA,599900,https://www.mercadolibre.com.co/licuadora-portatil-ninja-professional-plus-auto-iq-bn701-21-l-gris-y-negra-con-vaso-de-tritan-110v/p/MCO16961453#polycard_client=search-nordic&searchVariation=MCO16961453&position=16&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1938807504&sid=search
Electrodomésticos,Licuadora Oster Classic con control de perilla 3 velocidades 1.25L cromada BLST4655,Por Oster,289700,https://www.mercadolibre.com.co/licuadora-oster-classic-con-control-de-perilla-3-velocidades-125l-cromada-blst4655/p/MCO17734242#polycard_client=search-nordic&searchVariation=MCO17734242&position=17&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO928124663&sid=search
Electrodomésticos,Licuadora Deportiva En Acero Inoxidable 120V,Por Universal,179900,https://www.mercadolibre.com.co/licuadora-deportiva-en-acero-inoxidable-120v/p/MCO18202111#polycard_client=search-nordic&searchVariation=MCO18202111&position=18&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1996616582&sid=search
Electrodomésticos,"Licuadora Black + Decker 550W 4 Cuchillas, Jarra de Vidrio 1,25L BLBD210GR",Por Black and Decker Hogar,146900,https://www.mercadolibre.com.co/licuadora-black-decker-550w-4-cuchillas-jarra-de-vidrio-125l-blbd210gr/p/MCO21789278#polycard_client=search-nordic&searchVariation=MCO21789278&position=19&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1380733161&sid=search
Electrodomésticos,Licuadora Imusa Ultraforce + 8v Vaso De Vidrio 2.2l Color Gris 110v,Por Imusa Home & Cook,389900,https://www.mercadolibre.com.co/licuadora-imusa-ultraforce-8v-vaso-de-vidrio-22l-color-gris-110v/p/MCO43328915#polycard_client=search-nordic&searchVariation=MCO43328915&position=20&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2744611882&sid=search
Electrodomésticos,Freidora De Aire Oster®digital Diamondforce 4l- 10 Programas Color Negro 110V,Por Oster,359900,https://www.mercadolibre.com.co/freidora-de-aire-osterdigital-diamondforce-4l-10-programas-color-negro-110v/p/MCO41514595#polycard_client=search-nordic&searchVariation=MCO41514595&position=21&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1505206949&sid=search
Electrodomésticos,Aspiradora Vertical Electrolux Power Speed Stk12 Color Negro 127V,Por Electrolux,249900,https://www.mercadolibre.com.co/aspiradora-vertical-electrolux-power-speed-stk12-color-negro-127v/p/MCO18781058#polycard_client=search-nordic&searchVariation=MCO18781058&position=22&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO868610067&sid=search
Electrodomésticos,Balanza gramera de cocina digital SQ Cozinha SF-400 pesa hasta 10kg blanca,No especificado,13113,https://www.mercadolibre.com.co/balanza-gramera-de-cocina-digital-sq-cozinha-sf-400-pesa-hasta-10kg-blanca/p/MCO15462294#polycard_client=search-nordic&searchVariation=MCO15462294&position=23&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2047255144&sid=search
Electrodomésticos,"Freidora De Aire Imusa Air Fryer Esencial 3,2 Litros Gris",Por Imusa Home & Cook,489900,https://www.mercadolibre.com.co/freidora-de-aire-imusa-air-fryer-esencial-32-litros-gris/p/MCO24103224#polycard_client=search-nordic&searchVariation=MCO24103224&position=24&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1309422413&sid=search
Electrodomésticos,Cafetera Imusa Café City 6 tazas semi automática negra de filtro 110V,Por Imusa Home & Cook,144900,https://www.mercadolibre.com.co/cafetera-imusa-cafe-city-6-tazas-semi-automatica-negra-de-filtro-110v/p/MCO18706339#polycard_client=search-nordic&searchVariation=MCO18706339&position=25&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO945161547&sid=search
